,VR experience,gameplay,graphics,optimization,control,plot,character design,game atmosphere,combat,game content,price
2021-06,0.0,0.0014326647564469914,0.0014326647564469914,0.0,0.0,0.0028653295128939827,0.0028653295128939827,0.0,0.0014326647564469914,0.0014326647564469914,0.0
2021-05,0.0,0.0017574692442882249,0.0026362038664323375,0.0008787346221441124,0.0008787346221441124,0.006151142355008787,0.007029876977152899,0.0,0.0017574692442882249,0.0008787346221441124,0.0
2021-04,0.0009765625,0.0048828125,0.0029296875,0.0009765625,0.0,0.00390625,0.0048828125,0.0,0.0029296875,0.0009765625,0.0009765625
2021-03,0.0,0.003499562554680665,0.0026246719160104987,0.0,0.0,0.004374453193350831,0.0008748906386701663,0.0,0.0,0.0008748906386701663,0.0
2021-02,0.0,0.010054844606946984,0.003656307129798903,0.0009140767824497258,0.0018281535648994515,0.010054844606946984,0.006398537477148081,0.0009140767824497258,0.008226691042047532,0.0009140767824497258,0.0018281535648994515
2021-01,0.0,0.0042997542997543,0.0018427518427518428,0.003071253071253071,0.003071253071253071,0.004914004914004914,0.009828009828009828,0.0012285012285012285,0.0085995085995086,0.0,0.0012285012285012285
2020-12,0.0,0.0027210884353741495,0.005442176870748299,0.0,0.0,0.0027210884353741495,0.004081632653061225,0.0013605442176870747,0.0027210884353741495,0.0013605442176870747,0.0006802721088435374
2020-11,0.0,0.007861635220125786,0.003930817610062893,0.0015723270440251573,0.0007861635220125787,0.007861635220125786,0.00550314465408805,0.0,0.007861635220125786,0.0015723270440251573,0.0
2020-10,0.0,0.010498687664041995,0.0,0.0,0.0,0.011811023622047244,0.0013123359580052493,0.0,0.007874015748031496,0.0,0.0
2020-09,0.0,0.005813953488372093,0.010174418604651164,0.00436046511627907,0.0,0.010174418604651164,0.01308139534883721,0.0,0.015988372093023256,0.00436046511627907,0.0
2020-08,0.0,0.006396588486140725,0.006396588486140725,0.0,0.0,0.0042643923240938165,0.013859275053304905,0.0010660980810234541,0.009594882729211088,0.0010660980810234541,0.0010660980810234541
2020-07,0.0,0.0019193857965451055,0.0012795905310300703,0.0019193857965451055,0.0,0.011516314779270634,0.003838771593090211,0.0006397952655150352,0.003838771593090211,0.0012795905310300703,0.0
2020-06,0.0,0.001984126984126984,0.001984126984126984,0.001984126984126984,0.0,0.00496031746031746,0.002976190476190476,0.0,0.001984126984126984,0.000992063492063492,0.0
2020-05,0.0,0.006092254134029591,0.0017406440382941688,0.0008703220191470844,0.0008703220191470844,0.004351610095735422,0.005221932114882507,0.0,0.004351610095735422,0.0034812880765883376,0.0008703220191470844
2020-04,0.0009013068949977468,0.0018026137899954935,0.0013519603424966202,0.0009013068949977468,0.0027039206849932404,0.004506534474988734,0.0027039206849932404,0.0,0.00405588102748986,0.002253267237494367,0.0013519603424966202
2020-03,0.000931098696461825,0.0023277467411545625,0.0023277467411545625,0.000931098696461825,0.0,0.006052141527001862,0.006052141527001862,0.000931098696461825,0.00186219739292365,0.000931098696461825,0.0013966480446927375
2020-02,0.0,0.0036330608537693005,0.0027247956403269754,0.0036330608537693005,0.0018165304268846503,0.011807447774750226,0.0027247956403269754,0.0009082652134423251,0.009082652134423252,0.0018165304268846503,0.0018165304268846503
2020-01,0.0029585798816568047,0.005917159763313609,0.0014792899408284023,0.011834319526627219,0.0029585798816568047,0.011094674556213017,0.005917159763313609,0.0007396449704142012,0.01849112426035503,0.0073964497041420114,0.0014792899408284023
2019-12,0.0,0.002758620689655172,0.002758620689655172,0.0,0.0020689655172413794,0.004827586206896552,0.004827586206896552,0.0020689655172413794,0.013793103448275862,0.0034482758620689655,0.001379310344827586
2019-11,0.0,0.000676132521974307,0.002028397565922921,0.001352265043948614,0.0,0.0033806626098715348,0.0,0.0,0.004056795131845842,0.001352265043948614,0.0
2019-10,0.0,0.0,0.003875968992248062,0.011627906976744186,0.0,0.003875968992248062,0.0,0.0,0.0,0.003875968992248062,0.0
2019-09,0.0,0.0,0.0,0.0,0.004166666666666667,0.004166666666666667,0.008333333333333333,0.0,0.0,0.0,0.0
2019-08,0.0,0.0,0.0,0.003952569169960474,0.0,0.007905138339920948,0.0,0.0,0.0,0.0,0.0
2019-07,0.0,0.013251783893985729,0.004077471967380225,0.0010193679918450561,0.0010193679918450561,0.013251783893985729,0.011213047910295617,0.0061162079510703364,0.004077471967380225,0.0050968399592252805,0.0020387359836901123
2019-06,0.0,0.00535475234270415,0.006693440428380187,0.00535475234270415,0.002677376171352075,0.006693440428380187,0.013386880856760375,0.0,0.041499330655957165,0.008032128514056224,0.0
2019-05,0.0,0.010714285714285714,0.0,0.0035714285714285713,0.0035714285714285713,0.0035714285714285713,0.007142857142857143,0.0,0.010714285714285714,0.0,0.0
2019-04,0.0,0.004524886877828055,0.004524886877828055,0.02262443438914027,0.004524886877828055,0.013574660633484163,0.02262443438914027,0.0,0.004524886877828055,0.0,0.0
2019-03,0.0,0.0,0.0,0.0,0.0,0.007220216606498195,0.0,0.0,0.0,0.0036101083032490976,0.0
2019-02,0.0,0.0,0.0036900369003690036,0.0,0.0036900369003690036,0.01107011070110701,0.014760147601476014,0.0,0.007380073800738007,0.0,0.0
2019-01,0.038338658146964855,0.0,0.003194888178913738,0.006389776357827476,0.006389776357827476,0.006389776357827476,0.003194888178913738,0.003194888178913738,0.0,0.0,0.003194888178913738
2018-12,0.0,0.0,0.0033112582781456954,0.006622516556291391,0.0,0.0033112582781456954,0.0,0.0,0.006622516556291391,0.0,0.0
2018-11,0.0,0.0035671819262782403,0.0,0.0011890606420927466,0.0,0.0023781212841854932,0.0023781212841854932,0.0,0.0023781212841854932,0.0011890606420927466,0.0011890606420927466
2018-10,0.0,0.0,0.0,0.028409090909090908,0.0,0.005681818181818182,0.005681818181818182,0.0,0.0,0.0,0.005681818181818182
2018-09,0.0,0.0045871559633027525,0.013761467889908258,0.0,0.0,0.022935779816513763,0.03669724770642202,0.0,0.01834862385321101,0.0,0.0
2018-08,0.0,0.007575757575757576,0.01893939393939394,0.011363636363636364,0.0,0.011363636363636364,0.003787878787878788,0.0,0.011363636363636364,0.003787878787878788,0.0
2018-07,0.0,0.007075471698113208,0.007075471698113208,0.009433962264150943,0.0,0.01179245283018868,0.0047169811320754715,0.0,0.03537735849056604,0.01179245283018868,0.0023584905660377358
2018-06,0.0,0.0056022408963585435,0.01680672268907563,0.0056022408963585435,0.0,0.014005602240896359,0.011204481792717087,0.0,0.03361344537815126,0.008403361344537815,0.0028011204481792717
2018-05,0.0,0.010752688172043012,0.014336917562724014,0.0,0.0035842293906810036,0.035842293906810034,0.035842293906810034,0.0,0.017921146953405017,0.0035842293906810036,0.0035842293906810036
2018-04,0.0,0.0034129692832764505,0.0034129692832764505,0.0,0.0034129692832764505,0.010238907849829351,0.0034129692832764505,0.0,0.0,0.0,0.0
2018-03,0.0,0.027972027972027972,0.009324009324009324,0.006993006993006993,0.002331002331002331,0.027972027972027972,0.004662004662004662,0.004662004662004662,0.004662004662004662,0.0,0.0
2018-02,0.002785515320334262,0.008356545961002786,0.016713091922005572,0.008356545961002786,0.002785515320334262,0.008356545961002786,0.005571030640668524,0.0,0.0,0.0,0.005571030640668524
